id,Title,Location,Company,Salary,Date,Description
,Process Developer,"Toronto, ON",Metrolinx,"$63,325 - $83,310 a year",3 days ago,"Process Developer - (HUM000B)Employee Status: RegularOffice Name: Head Office$63,325 - $83,310 per annumMetrolinx is connecting communities across the Greater Golden Horseshoe. Metrolinx operates GO Transit and UP Express, as well as the PRESTO fare payment system. We are also building new and improved rapid transit, including GO Expansion, Light Rail Transit routes, and major expansions to Toronto’s subway system, to get people where they need to go, better, faster and easier. Metrolinx is an agency of the Government of Ontario.The Human Resources is seeking two (2) Process Developers to support the development and maintenance of Project Management (PM) Center of Excellence (CoE) based framework processes and documentation. Also support the creation, evolution, and maintenance of a Metrolinx wide project management framework. This position will support the PMCoE Manager PM Frameworks.Key ResponsibilitiesCreates and revises Visio diagrams, reports and reporting tools, documentations, and presentations to inform and support the PMCoE and various PM stakeholder across MetrolinxCreates clear and succinct process documents and reports to support a Project delivery framework.Provide ongoing support in the establishment of the PMCoE department and its management by:Providing input in the establishment of processes and procedures for Project Management;Provides administrative support for Steerco updates, SMT briefings, and other communications as required to help the team meet objectivesResearches prepares and consolidates information, for the PMCoE and Process OwnersCreates an inventory of PMCoE documentation, tools and processesAssists the PMCoE manager PM Frameworks and the PMCoE teamAssist with projects by establishing appropriate timeliness and milestones with project stakeholdersAssist with logistics support as required for a range of projects and process development projectsDrafts, develops and creates and rolls out work plans for the PMCoE teamDevelops tools and resources to support accurate and timely tracking and reporting of metrics, KPIs and statusesLiaising with the process owners to properly capture project management processesOversees the PMCoE operational efficiencies KPI, reporting regularly and responding to ad hoc requestsWork with stakeholders to create efficiencies in the processes related to PMCoE frameworkAnalyzes empirical data and provides support to the manager with simplifying and streamlining simplification PMO reportingSupports the development of communication channels (for example the PMCoE portal) for the various levels of governance within PM CoE, develops draft communications, presentations and training documentation as requiredEstablishes appropriate methods and protocols for information and resource material sharingSupports the development of process training or resources required for Process Owners’ successLocation: 97 Front St, TorontoFile Number: HUM000BQualificationsCompletion of a degree in technology, process, or Business Administration or a related discipline – or a combination of education, training and experience deemed equivalentMinimum four (4) years’ experience executing on process development or related disciplinesExperience with Visio or similar process tools, Tableau or similar reporting application experience is an asset.Project Management Professional (PMP) designation is an assetExperienced in process design and change management, reporting best practicesKnowledge of Visio, MS OfficeTo apply for this position, please submit resume, no later than April 10, 2020.Please note that applicants must be legally entitled to work in Canada. Accommodation will be provided throughout the hiring process, as required. Applicants must make their needs known in advance.Please be advised, Metrolinx uses email to communicate with their applicants for open job competitions. A Criminal Record Search may be required of the successful candidate. Should it be determined that any background information provided be misleading, inaccurate or incorrect, Metrolinx reserves the right to discontinue with the consideration of your application.We thank all applicants for their interest, however, only those selected for further consideration will be contacted. Accommodation will be provided throughout the hiring process, as required.AN EQUAL OPPORTUNITY EMPLOYERwww.metrolinx.comClosing Date (Period for Applying) - External: 10-Apr-2020"
,Fullstack Developer - New Graduate,"Toronto, ON",Energy Profiles Limited,NA,11 days ago,"About EPLAt EPL, we quantify changes to the use of our earth’s resources, so we can help our clients make better decisions for our world.We help our clients improve both their environmental performance and their bottom line while at the same time providing independent, impartial strategic guidance. Our clients include some of the largest public and private companies in Canada, collectively representing approximately 2.5% of national electricity use.We have built our reputation on doing things really well. We have a bright, talented, and engaging team with a lot of passion for what we do: helping large energy users across North America reduce their energy/carbon footprints and quantifying energy costs.About the RoleRecent and projected growth has led us to search for a capable new graduate to take on a Full Stack Developer role at our Toronto office. We can accommodate new hires immediately and in the Spring/Summer of 2020.Developers are an integral part of our Data Systems Group. This is our team of engineers, analysts, and developers who both develop and utilize our proprietary software and systems to analyze and report on utility data. As a member of the team you will:Use a full-stack of technologies in the development of tailored client-facing and internal websites.Work with modern browser technologies and frameworks (Angular 4, ASP.NET).Write elegant SQL queries and design efficient database schema.Apply your smarts and problem-solving talents to troubleshoot and debug existing websites.EPL Developers take ownership of projects from early in the design phase through development, deployment and maintenance, giving them the opportunity to experience the full development life cycle.What to expectPeople are the most important part of our company.We have found that exposure to different parts our business, systems, and processes is essential in developing our team members? capabilities and careers. The success of our people drives the success of our company. Each team member?s specific role evolves based on their interests, aptitude, and business needs throughout theirTo that end, EPL Developers typically complete several rotations in their first year at EPL. Each rotation involves doing real work on a different aspect of our business, with a focus on understand how the systems we build are used. Potential rotations include:Web Development: How do we best present information to our clients to drive savings?Data Science: what are the 100,000+ energy-related data points generated by a skyscraper every day? Is the data accurate? What does it tell us?Building Analytics: How is energy used in buildings? Where are the opportunities for savings?Data Integrity : Do you know what each electricity bill line item means? How do you know if you were billed correctlyForecasting and Reporting: What insights do our clients need to help run their businesses?EPL team members also:Unlimited Vacation & Flexible Work Hours (you own your time)Vibrant workplace & regular team fun (events & activities)Work with super smart and nice people!About YouYou are smart and act with purpose. You want to be a part of building our team and company.Nominally, you have an undergraduate degree in an engineering discipline, computer science, or another technical field (or equivalent experience).Summer or internship experience contributing to the development of web and cloud based sites using a mix of the below technologies:JavaScript (jQuery, Angular), HTML, and/or CSSC#, Java, Python and/or ASP.Net or similar languages.Microsoft SQL ServerIt is important that the applicant can communicate clearly and efficiently. As we have clients across Canada and the US, fluency in French would be an asset, but is not mandatory."
,Junior Developer,"Vaughan, ON",SDR DISTRIBUTION SERVICES,NA,7 days ago,"Scope/ Overview of Position:We are a single source solution provider with multi-site warehousing, and freight distribution with cost-effective management solutions. With a backbone of committed team members and management; SDR makes it simple for our customers… without exception.SDR has grown to be a leader in the Canadian 3PL market with strong roots in the apparel, footwear & fashion industry. Known for its benchmark of accuracy and error free margin, our success has been based on fully customized warehouse and inventory control systems, and on-time delivery solutions.Reporting to the Manager Systems Architecture and working closely with other members of the SDR Information Technology Team, the Junior Developer’s primary responsibilities are to learn the SDR codebase, work on bug fixes, and support Senior Developers with projects, client implementations and internal enhancementsHours/Shifts:Regular business hours Monday to Friday however schedules are subject to change to meet organizational needs based on a shift rotation. Responsibilities will sometimes require working evenings and weekends. This role may be required to carry a company issued cellphone for critical outages and timely response to requests.Primary responsibilities:Detailed experience with object-oriented programmingExperience improving productivity in the development of Web applications through well designed and testable code.Strong abilities with unit testing.Familiarity with Software Development life cycles.Understanding of development patterns and Domain Driven DesignExperience with Source Control Systems, such as Bit Bucket.Ability to create complex database queries.Maintain and modify existing Client Integration Frameworks.Maintain and revise third party Warehouse Management System and associated systems.Project Management and Client CommunicationsStrong Customer Service focus.Ability to clearly communicate with clients of differing technical skill levels.Well-developed time management skills.Knowledge of Incident Management, Change Management and Problem Management.Effective organizational skills with the ability to manage multiple tasks and meet deadlines.Ability to deliver quality documentation with strong attention to detail.Field incoming queries and help requests from end clients, either via email or over the phone. Take detailed notes of the problem, determine steps to resolution, and manage the flow of incoming requests.Manage incidents, problems and service requests throughout the entire support lifecycle. Including documenting, tracking and monitoring.Ensure clients are kept up to date throughout the duration of their requests and project milestones.Work together with the application and infrastructure teams providing an effective single point of contact for all development activities.Responsible for developing procedures and creating support and system documentation for internal teams and clients.Qualifications:Education/ExperienceDegree or diploma in computer programming related curriculum or equivalent experience.Net developer with strong experience in MVC Framework, C#, API, ASP.NET, razor and JavaScript technologies.JSON, RESTFundamental knowledge of Microsoft Windows computers in a network environment including Microsoft Office Suite of applications.Basic knowledge of TCP/IP networking and related network servicesExperience working with and supporting remote clients and partners.Specialized KnowledgeSound understanding of general business conditions in a warehousing or logistics environmentAbility to interact and effectively communicate technology concepts amongst peers.Experience in IT field (warehousing environment highly desirable); WMS; Manhattan Scale experience a definite asset but not required.Relational database experience – SQL (including stored procedures, SSRS and SSIS).Extensive practical knowledge in importing data for use in report software, spreadsheets, graphs, and flow charts.Job Types: Full-time, PermanentEducation:Secondary School (Preferred)"
,C/C++ Developer,"Toronto, ON",AstraNorth,"$136,693 - $205,991 a year",3 days ago,"Must Have Skills: C/C++ , Unix/Linux, Solaris, Solaris grid.Job Description:Strong understanding of C/C++ Unix/Linux, Perl, Shell script, Sybase/NetezzaDevelopment of migrating applications from Solaris (C/C++) to Redhat (g++/gcc)Participate actively in design sessionsPrepare detailed technical specifications for the projects, security and architecture documentation objectivesDevelop detailed design documents, unit testing, user acceptance testing documentsDevelop, code, document and execute unit tests, systems, integration and acceptance testingWork closely with QA/Business teams for acceptance testingJob Type: ContractSalary: $136,693.00 to $205,991.00 /yearExperience:C++: 1 year (Preferred)"
,React/Native React Developer,"Toronto, ON",Ana-Data Consulting Inc,"$50,000 - $60,000 a year",2 days ago,"Job DescriptionFintelics is a boutique consulting team specializing in cutting edge technologies, including; blockchain, cloud computing, data engineering, edge computing, and fullstack omnichannel software.Required QualificationsBachelor of Mathematics or Science majoring in Computer ScienceWorking knowledge and experience with React and React NativeWorking knowledge and experience with redux and redux-sagaPreferred QualificationsExperience with AWS, blockchain, or other emerging technologies1-2 yrs experience in React/Native ReactBanking/financial services industry is preferred.Salary $50-$60KFull-timeLocation: Toronto"
,RPA Blue Prism Developer,"Toronto, ON",Tata Consultancy Services,NA,1 day ago,"Job DescriptionJob Description:Design RPA, components, and their interfaces in support of business requirements.Responsible for technical design, development, and maintenance of RPA applications and their associated components within the team; Contributes to technical strategy discussionsDesign RPA, components, and their interfaces in support of business requirements.Develop high quality code to support technical architecture and design; Considers future systems architecture.Participate and contribute to an effective software development lifecycle in Agile and DevOps environment.Accurately estimate time and resources for softwasre development efforts.Incorporate rigorous unit testing practices into development process.Leads development teams; Provides leadership of small to medium size project deliverables; Collaborates with product managers / Scrum Master and other functions.Blue Prism Automation developmentGeneral software installation along with specific software installation / patch maintenance for Blue PrismBlue Prism Login agentRole based access control, SSO implementationDeployment / Release managementKnowledge of at-least one programming language (C# /VB .net)Blue Prism developer certification (from Blue Prism)Tata Consultancy Services Canada Inc. is committed to meeting the accessibility needs of all individuals in accordance with the Accessibility for Ontarians with Disabilities Act (AODA) and the Ontario Human Rights Code (OHRC). Should you require accommodations during the recruitment and selection process, please inform Human Resources.Thank you for your interest in TCS. Candidates that meet the qualification for this position will be contacted within a two-week period. We invite you to continue to apply for other opportunities that match your profile."
,Application Developer,"Toronto, ON",Teva Pharmaceuticals,NA,Today,"Reporting to the Director, IT Business Applications the Analyst/Developer is responsible for implementing and supporting Oracle Business Intelligence solutions in Commercial, Finance, Sales & Marketing, Supply Chain Planning and Manufacturing analytics. The incumbent will apply his/her knowledge in Data warehousing/Data modelling within an Oracle 11g database environment and utilize the various OBIEE 11g and OBI Apps (Informatica / Datawarehouse Administration Console) tools to build reports and dashboards including ETL design /development.Implement solutions with ability to work in all aspects of the SDLC (Discovery, Design, Development, Testing, Deployment, Maintenance)Elicit/Gather requirements from various stakeholders to enhance or create new reporting solutionsTranslate the Functional requirements to document the technical design specificationsDeliver solutions to support various BI initiatives using OBIEE / OBIADimensional Modelling for the Datawarehouse (Oracle 11g)Build the OBI metadata repository (RPD Modeling)Create ad hoc queries for business usersBuild BI dashboards and analyses including incorporation of prompts, views and graphsSetting up agents to schedule report/dashboard deliveryBI PublisherConfiguration of security for the various objects (data and object level)Utilize Data Warehouse Administration Console (DAC) and various Informatica client tools for customizing or building new extract, transform and load (ETL) metadataAssist business users with User Acceptance TestingMigration of the various OBI deliverables (RPD, Webcat, Informatica/DAC metadata) to production environment(s)Production support activities as needed includingTechnical support for BI end-usersAccess requests to dashboards/reportsTroubleshooting data integrity issuesDebugging ETL failuresOccasional after-hours support as neededPerformance tuning (OBI and database)Installation, Configuration and Administration of the BI environment : OBIEE 11.1.1.6 / 11.1.1.7 and OBIA DAC11g & Informatica 9.5.1, as neededAssist in building project plan timelines for solution implementationQualificationsPost-secondary degree/diploma in an business administration, computer science, or information technologyRequired: 5+ years of experience with Oracle Business Intelligence Enterprise Edition 11g in medium to large manufacturing and commercial organization; preferred: 7+ years of experience with Oracle Business Intelligence Enterprise Edition 11g in medium to large manufacturing and commercial organizationTechnical skills:Oracle Business Intelligence Enterprise Edition 11g (certification preferred)Oracle Business Intelligence Applications (Informatica 9.5.1 and DAC 11g)Unix ExperienceOracle 11g Database experience with SQL proficiency including Oracle PL/SQLPharmaceutical industry and knowledge of GMPs regulations is a strong assetExperience in leading application testingProven experience with business and technical requirements analysis, modeling, verificationFast learner with the ability to adapt quickly to a changing environmentOpen-minded, creative, strategic and innovative thinker with excellent analytical, mathematical, and creative problem-solving skillsExceptional communication skills (written / oral) and ability to communicate effectivelyHighly organized with the ability to manage multiple and competing priorities and meet deadlinesStrong team player with the ability to build strong working relationships at all levels of the organizationFunctionInformation TechnologySub FunctionApplication DevelopmentReports ToDirector, IT Commercial Business ApplicationAlready Working @TEVA?If you are a current Teva employee, please apply using the internal career site available on ""Employee Central"". By doing so, your application will be treated with priority. You will also be able to see opportunities that are open exclusively to Teva employees. Use the following link to search and apply: Internal Career SiteThe internal career site is available from your home network as well. If you have trouble accessing your EC account, please contact your local HR/IT partner."
,Full Stack Developer,"Toronto, ON",Konrad,NA,17 days ago,"Konrad GroupKonrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.Software Developer (Entry Level)As an entry level Software Developer you'll be tasked with working on both mobile and web applications. Working within the software development team, your duties will require you to assist in the development of consumer and enterprise applications. This role is ideal for entry level developers who feel confident in their technical ability and want to be apart of the highly-skilled development team at Konrad Group.ResponsibilitiesWrite maintainable, testable, and performant software in collaboration with our world class teamParticipate in code review and performing extensive testing to ensure high quality softwareResearch new technology and tools and share those findings with the teamCommunicate clearly and effectively with all members of our teamSuccessful candidates will haveGraduated from a Computer Science, Software Engineering, or similar programExperience creating either web or native mobile applicationsExperience programming in Java, Swift, or JavaScriptStrong command of important programming and computer science conceptsFundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)Great interpersonal skills - we work very closely together as a team and require a lot of communicationProactive personality and a desire to deliver your best workPerks and BenefitsMentorship ProgramFlexible Vacation PolicyHealth & Wellness ProgramsCulture of Learning & DevelopmentFully-Stocked Kitchens & LoungesNew Shiny Device UpgradesMonthly Socials & Team OutingsBonus Points: Have you taken any courses at BrainStation ( https://brainstation.io/ )? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted"
,ServiceNow Developer,"Toronto, ON",FXinnovation,NA,Just posted,"LocationTorontoSector:DéveloppeurJob Type:PermanentContact:Nadia MakaremJob Reference:4589Expiry date:2020-09-16Start Date:2019-09-17Main ResponsibilitiesAssist with configuration of the platform when an administrator cannot do so;Develop as described in the functional specifications;Create and document stories throughout their lifecycles;Carry out unit and integrated tests consistent with the company’s quality management approach;Present the configured solution to clients before user tests;Develop, design, configure and deploy new application modules, workflows, catalog requests, scripts, user interfaces and other components of the ServiceNow platform;Create and manage ServiceNow tables/views according to needs;Create and manage Web service integrations using SOAP and REST;Develop and document best practices and reusable assets;Maintain documentation for the administration and configuration of the application;Participate in the process of collecting business requirements when new opportunities arise;Combine business knowledge and analysis with programming skills to develop applications that meet specific business needs;Respond to service issues and manage level 3 application support issues;Ensure constant quality and total compliance with coding standards;Responsible for the predefined version and change management processes.Technical expertise and general criteriaRequirements:Bachelor’s in Information Technology or equivalent;Experience with the ServiceNow platform;Experience in JavaScript, SOAP/REST, XML/HTML/CSS programming;Experience with Angular JS and Bootstrap web portals (asset);Knowledge of ITIL practices (certification would be an asset);Experience with incident management, service request management, problem management, change management and configuration management;Possess the ServiceNow Certified System Administrator or Certified Application Developer certifications (asset if not senior);Knowledge of Agile/Scrum practices.Considerable assetsITIL Foundations certificationServiceNow administrator certificationServiceNow implementation specialist certificationServiceNow application development certificationExperience in the Canadian banking sector"
,Microsoft Business Intelligence (BI) Developer,"Toronto, ON",Kemkar Projects/ Contract with Government client,NA,Just posted,"Contract: 6+ MonthsRate: Flexible / CompetitiveClient: Public Sector in northern GTASome remote work possiblePlease apply by Apr 3Job description:- Develop and implement processes to retrieve data from databases- Design, develop and deploy reports in MS SQL Server environment- Create parameterized reports, drill dow and drill through reports using SSRS- Develop ETL jobs for extracting, cleaning, transforming and loadind data into data warehouse- Prepare the complete data mapping for all the develop ETL jobs- Create databases and schema objects including tables, indexes, connected various applications into the database and create functions, stored procedures and triggers- Develop and implement transformations such as Lookup, Deprived Column, Data Conversion, Aggregate, Conditional Split, SQL Task, Script Task and send Mail taskRequired Experience:- MS PowerBI 2019- MS SQL 2019- MS Office 365- SharePointPreferred Experience:- Peoplesoft EPMQualifications:- 3+ Years experience as Developer on Data Analytics projects- University Degree / EquivalentCandidates must be legally eligible to work (Citizens, Permanent Residents)We thank all applicants! We will respond to candidates that are shorlisted.Job Types: Full-time, Part-time, ContractExperience:Analytics / ETL: 3 years (Preferred)MS SQL: 3 years (Required)PowerBI: 1 year (Required)Education:Bachelor's Degree (Preferred)Work remotely:Temporarily due to COVID-19"
,Wordpress Developer,"Toronto, ON",Evcor Solutions Inc.,NA,2 days ago,"Wordpress Developer Job DescriptionWe are seeking a Wordpress Expert to assist us in redeveloping our existing website. Website requires optimization on the front & back end & with a key focus on SEO.Candidate must have experience in back end website configuration as we require immediate changes to our website including mobile phone optimization, SEO, loading of documents/videos and design.Part-time to ongoingThank youJob Type: Part-timeExperience:WordPress: 1 year (Preferred)Work remotely:Temporarily due to COVID-19"
,Front End Web Developer – Part Time,"Toronto, ON",Vretta Inc.,$25 an hour,14 days ago,"I am looking for a part-time Front-End Web Developer to work on small to medium sizes web development projects. The candidate must have experience with the following;- UI/UX Design- HTML 5/CSS- CMS (Gatsby etc.)- Javascript- Familiar with Netlify- Familiar with ReactIf you are interested in this position, please let me know asap.Job Types: Part-time, CasualSalary: $25.00 /hourExperience:HTML5: 2 years (Preferred)web development: 2 years (Preferred)CSS: 2 years (Preferred)JavaScript: 1 year (Preferred)"
,Research Analyst,"Toronto, ON",Raymond James Ltd.,NA,2 days ago,"Raymond James Ltd. is seeking a Research Analyst to work in our Toronto office.Cougar Global Investments is an affiliate of Carillon Tower Advisers and is a subsidiary of Raymond James Financial, Inc.Raymond James Ltd. is Canada’s leading independent investment dealer offering high quality investment products and services to Canadians seeking customized solutions to their wealth management needs.Cougar Global’s Investment team focuses on developing its proprietary top-down investment process. The process combines in-depth macroeconomic research, investment analysis and strict downside risk management using advanced quantitative and statistical models. We also research new multi-asset products and solutions, such as those based on Environmental, Social and Governance (ESG) and Smart Beta factors. We aim to generate thought-leadership through regularly published white papers, media appearances, client meetings, and conference presentations. Finally, the team collaborates with marketing and distribution to develop new business.We are looking for an ambitious Research Analyst to join our expanding team.Specifically you will:Update and run Cougar Global’s existing risk and asset allocation models for strategic and tactical asset allocation on a regular basis using historical data and forward looking quantitative analysis;Contribute to regular investment team meetings to develop new investment ideas and analyze potential opportunities to add value to portfolios;Engage in thought provoking and cutting-edge research to establish Cougar Global as a thought leader in multi-asset portfolio risk and return management. This includes enhancing existing frameworks and developing new frameworks through investment research, computer programming and analysis to improve current products and develop new solutions for clients;Research and implement (through a programming language/platform of choice) new ideas and frameworks that have the potential to add value to existing clients and attract new clients to Cougar Global. Should be willing to leverage ideas from other industries, including insurance, engineering, physics, and machine learning to produce high quality innovative ideas;Develop software, tools and frameworks that can be utilized by the team internally and externally; andParticipate in presentations to clients via webinars, in person engagements and media, as opportunities arise.To qualify for this opportunity you possess:Minimum 5 years of work experience in financial services (preferable);Familiarity with concepts around strategic and tactical asset allocation, portfolio construction and optimization, stochastic simulations, macroeconomic research, risk measurement and management preferable, but not pre-requisite;Minimum of a bachelor’s, degree in finance, economics or business administration;Professional qualifications (CFA, CIMA, etc.) a plus, but not required;Strong technical and programming skills, in a range of languages is essential (VBA, Matlab, C++, SQL, Fortran);Interest in any of these backgrounds: financial engineering, quantitative economics, econometrics, and hard sciences;A positive, relaxed attitude and growth mindset;Prior experience collaborating with other individuals;Attitude to be a self-starter, curious, passionate about learning and a willingness to experiment with different untested ideas; andEffective communication skills to help present complex quantitative research.This is a permanent full-time position with a competitive compensation and benefits package.If you would like to join our team, please send a resume and covering letter, quoting the position and Job Posting # 19-178 by April 10, 2020.Short-listed candidates will be asked to complete a project that demonstrates their programming and analytical skills.To be considered for employment candidates will be required to provide proof of citizenship, permanent residency or eligibility to work in Canada with no restrictions. We require applicants to complete a background verification process prior to commencing employment with the company, including but not limited to a credit and criminal record check. Employment is contingent on the satisfactory completion of a pre-employment background check.We sincerely thank all applicants who express an interest in this role: only those being directly considered will be contacted.Raymond James Ltd. recognizes the value of a diverse workforce and appreciates the unique skills and special contribution of each employee. We are committed to accessibility for candidates through all stages of the recruitment process. Should you require accommodation, please contact Human Resources.Job Types: Full-time, Permanent"
,Junior Front End Web Developer,"Toronto, ON",Synergy Networx,NA,7 days ago,"Our Toronto office is seeking a Junior Front End Web Developer. This is a full-time, permanent position and includes fully paid group benefits.Requirements:Knowledge of HTML, CSS, PHP, Java Script & jQueryResponsive design and WordPressAbility to work with legacy codeUnderstand common browser debugging toolsStrong communication, organization and time management skillsAbility to multi task and work in a fast paced environmentAttention to detailGood understanding of web standards and site securityExperience in the financial industry is an assetResponsibilities:Work with senior level programming team on various tasksMaintain and update existing websites in a timely mannerTake existing sites and populate content and photographsBuild small scale WordPress or HTML sites"
,Student Developer,"Toronto, ON",Waterfront International,NA,30+ days ago,"We're seeking highly motivated students who possess strong technical skills and the ability to work in a fast-paced collaborative environment.Internship opportunities are not limited to the summer and are available throughout the year.Primary Responsibilities:Develop new software and enhance existing systems.Create tools to process, store and analyze quote, trade and financial data.Work closely with our traders, quantitative research analysts, implementation programmers and other groups to provide software solutions.Requirements of the Candidate include:Pursuing an undergraduate or graduate level degree in Computer Science or Mathematics.C++ and/or Java programming knowledge or experience in a Linux environment preferred.Excellent academic record.Strong problem solving skills.Knowledge of shell scripts and other languages including Perl, Bash or CSH is a plus.Knowledge of relational databases including Sybase, SQL Server and Oracle is a plus."
,Front End Developer - Local Candidates Only,"Toronto, ON",RADD Capital,"$6,000 - $7,500 a month",1 day ago,"We are looking for a Front end website developer who is skilled in SEO optimization with a marketing focus to join our team to help build an e-commerce marketplace.ROLES AND RESPONSIBILITIES:Design, develop, maintain and improve web pages, user interfaces and interactive experiences for the e-commerce platform.Conceptualize, draft, execute, and maintain website content that uses best practices for search engine optimization and internal site search and is optimized for conversion.Communicate effectively and manage contract parameters with website hosting and website management.Develop, implement, manage and improve web page templates, frameworks, style sheets and modules.Continuously learn, adopt and implement modern web development techniques and practices for mobile-first, fast-loading, user-centered web experiences.Lead efforts to improve user experience by analyzing web analytics data, conducting and analyzing user testing, and implementing and sustaining user/constituent feedback activities.Generate analytics reports.Coordinate with team members to ensure web site(s) can adapt quickly and easily in response to continuous changes in web content, applications and priorities.Coordinate website brand identity and overall look and feel of the Company’s web site(s) in alignment with brand standards.Implement smart and sustainable SEO best practice strategies and conduct keyword research with tools like Google Search Console.Conduct content and site audits to identify content and technical SEO opportunities and threats.Work with creative team to drive SEO in digital asset creation.Oversees the monitoring and reporting of key analytics and provides relevant analysis and recommendations.Establishes protocols for web policies, ensures adherence to style guidelines, and maintains monitoring systems for key web functions.Other duties as assigned.REQUIRED SKILLS:Freelance experience.Shopify platform expertise.Experience in connecting payment gateways.Experience with SEO tools that can include: Moz, Buzzstream, SEMRush, Google Search Console, BrightEdge, Conductor, SearchMetrics, Google Analytics and link research tools (Majestic SEO, Open Site Explorer, Ahrefs, Kerboo etc.)Experience working cross-functionally.Ability to work cooperatively and to discuss issues of importance with constituents at all levels and in all units of the Company.MINIMUM QUALIFICATIONS:Bachelor’s degree required.Three to five years of SEO content management, and writing experience.Understanding of key website analytics.PREFERRED QUALIFICATIONS:Five or more years of similar work experience.Content management, SEO and creative experience (video, audio, written, custom graphics, etc.)Term: Contract Work: 3 months with renewal option, we offer competitive rates.Benefits:Work from home opportunitiesStock optionsReference ID: Front End DeveloperJob Types: Full-time, Temporary, ContractSalary: $6,000.00 to $7,500.00 /monthExperience:e-commerce: 1 year (Preferred)Shopify platform: 1 year (Preferred)front end development: 3 years (Preferred)Location:Toronto, ON (Required)Work remotely:Yes"
,Web Developer - Woo Commerce,"Toronto, ON",Clermont Ventures,$25 - $30 an hour,5 days ago,"Local digital agency looking for an expert web developer who has expertise working with WooCommerce/WP/PHP as well as with Web hooked based APIs. We are trying to fill the role on a contract basis ASAP, which will eventually lead to a full-time role.Job Types: Full-time, Part-time, Temporary, Contract, FreelanceSalary: $25.00 to $30.00 /hourExperience:Web Development: 5 years (Required)WooCommerce : 5 years (Preferred)REST API: 3 years (Preferred)Education:Bachelor's Degree (Preferred)"
,Web Developer,"London, ON",Voices.com,NA,27 days ago,"Position Location: London, Ontario*2 Positions Available*Voices.com is the #1 online marketplace for sourcing and hiring voice over talent and has been rated as one of Deloitte’s Fastest Growing Tech Companies in Canada. Voices.com offers talented and motivated people the opportunity to work in a dynamic and growing company.As the ideal candidate, you will work in an open concept environment and be set-up with a suite of Web development tools. Through internal advancement opportunities and a competitive salary you'll have the chance to create a career that you can be proud of. Don't miss your chance to join our winning team!ResponsibilitiesRapidly iterate on web-based projects in a cross-functional team settingEvaluate and spec out new product development opportunitiesResearch and advise on technologies and improvementsDesign and implement our web platformDocument existing and proposed logic and UI flowsCo-operative work in a fast paced environmentSkills RequiredExperience in the development of community, marketplace, video/multimedia sites, or other web applicationsExpertise with Javascript (REACT, Node.js, jQuery), CSS/LESS, XML, JSON, AJAX and APIsIn-depth knowledge of MySQL and ApacheWorking knowledge of PHP and MicroservicesExpertise in LinuxStrong grasp of security principles and concernsExtensive familiarity with responsive UI, cross-browser compatibility and general web standardsKnowledge of social media, social networking, and modern web appsExcellent presentation and communication skillsDependable, reliable, cooperative and drivenBackground Requirements2+ years experience in database-driven web site developmentBS or MS in Computer Science, Diploma in Web Development or equivalent work experienceEqual Employment OpportunitiesVoices.com values diversity. We're proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition or disability.AccommodationVoices.com is committed to providing accommodation for applicants with disabilities; please let us know if you require an accommodation during the recruitment process.Apply OnlineInterested candidates are encouraged to send their cover letter and résumé by completing the online application. By doing so, your resume is guaranteed to be reviewed.Voices.com thanks all candidates in advance."
,Guidewire Developer,"Mississauga, ON",ISG Search Inc,NA,24 days ago,"Duration:6 months with extensions probable.Must Have:4+ years of experience with Guidewire PolicyCenter and/or BillingCenter application development experience OR Previous experience of working on P&C policy admin systemsStrong Java server-side programming experience with strong understanding of object-oriented design and programmingOur client…Our client, a leading Canadian owned Insurance Company located in Guelph, is seeking a Senior Java Developer with hands-on Guidewire Policy Centre experience, or, Senior Java Developers with application development experience on a Property and Casualty Insurance policy administration system.Responsibilities:Provides fixes and enhancements to Guidewire PolicyCenter, BillingCenter and ClaimCenter for Home and Farm insurance lines.Partner with client business teams to understand business objectives and integration requirementsEstimate the effort required to build necessary integration programsWork with the configuration/functional analyst to design/develop solutionsDevelop custom integration points to connect Guidewire applications with other internal and external systemsPlan integration testing and performance testing of customer solutions"
